class;type;text;moneyORlocation
community;CardMove;Exeis poly kairo na gymnasteis.. Pigaine sto Gymnastirio!;23
community;CardMoney;Perases mathima! Pare 50 eyro!;50
community;CardMoney;Exei parti i sxoli! Dose 40 eyro gia ypostirixi!;-40
community;CardMove;Ora na breis douleia! Pigaine sto grafeio diasyndesis!;28
community;CardMoney;Prepei na bgaleis fototypies.. Dose 40 eyro!;-40
community;CardMoney;Brabeytikes se diagonismo programmatismou! Pare 100 eyro!;100
community;CardMove;Orkizetai o kollitos sou! Pigaine stin aithousa teleton!;39
community;CardMoney;Epitelous pairneis ptyxio! Doro 100 eyro!;100
community;CardMove;Ora gia diabasma! Pigaine stin Kentriki Bibliothiki!;37
community;CardMove;Apofasises na pas erasmus! Pigaine sto antistoixo grafeio!;12
